--------------------------------------
Items Info:
Item | Pocket | Buy | Sell | Description
--------------------------------------
Repel                  | Other      | $10   | $5    | Prevents wild Pokemon encounters for 200 steps.
Pokeball               | Balls      | $10   | $5    | A device for catching wild Pokemon. It's thrown like a ball at a Pokemon, comfortably encapsulating its target.
Great Ball             | Balls      | $25   | $12   | A good, high-performance Poke Ball that provides a higher success rate for catching Pokemon than a standard Poke Ball.
Ultra Ball             | Balls      | $50   | $25   | An ultra-high-performance Poke Ball that provides a higher success rate for catching Pokemon than a Great Ball.
Master Ball            | Balls      | --    | $10000 | The very best Poke Ball with the ultimate level of performance. With it, you will catch any wild Pokemon without fail.
Cherish Ball           | Balls      | --    | $1000 | A quite rare Poke Ball made to commemorate a special occasion of some sort.
Premier Ball           | Balls      | --    | $5    | A somewhat rare Poke Ball made to commemorate a special occasion of some sort.
Heal Ball              | Balls      | $15   | $7    | A remedial Poke Ball that fully heals a Pokemon caught with it.
Dusk Ball              | Balls      | $20   | $10   | A somewhat different Poke Ball that is more effective when catching Pokemon in dark places, such as caves or buildings.
Quick Ball             | Balls      | $50   | $25   | A somewhat different Poke Ball that is more effective at catching Pokemon when used first thing in a battle.
Timer Ball             | Balls      | $50   | $25   | A somewhat different Poke Ball that becomes more effective at catching Pokemon the more turns that are taken in battle.
Repeat Ball            | Balls      | $50   | $25   | A somewhat different Poke Ball that is more effective when catching a Pokemon of a species that you've caught before.
Luxury Ball            | Balls      | $150  | $75   | A particularly comfortable Poke Ball that makes a wild Pokemon quickly grow friendlier after being caught.
Nest Ball              | Balls      | $30   | $15   | A somewhat different Poke Ball that becomes more effective the lower the level of the wild Pokemon.
Dive Ball              | Balls      | $50   | $25   | A somewhat different Poke Ball that is more effective when catching Pokemon in or on the water.
Net Ball               | Balls      | $50   | $25   | A somewhat different Poke Ball that is more effective when catching Water- or Bug-type Pokemon.
Heavy Ball             | Balls      | --    | $250  | A somewhat different Poke Ball that becomes more effective the heavier the Pokemon is.
Lure Ball              | Balls      | --    | $250  | A somewhat different Poke Ball that is more effective when catching Pokemon in or on the water.
Friend Ball            | Balls      | --    | $250  | A somewhat different Poke Ball that makes a wild Pokemon more friendly toward you immediately after it's caught.
Love Ball              | Balls      | --    | $250  | A somewhat different Poke Ball that is more effective when catching Pokemon of the same species as yours.
Level Ball             | Balls      | --    | $250  | A somewhat different Poke Ball that becomes more effective the lower the level of the Pokemon compared to your own Pokemon.
Fast Ball              | Balls      | --    | $250  | A somewhat different Poke Ball that is more effective when catching Pokemon that are very quick.
Moon Ball              | Balls      | --    | $250  | A somewhat different Poke Ball that is more effective when catching Pokemon that can be evolved using a Dawn or Dusk Stone.
Dream Ball             | Balls      | --    | $500  | A somewhat different Poke Ball that is more effective when catching Pokemon that are asleep.
Beast Ball             | Balls      | --    | $1000 | A somewhat different Poke Ball that is only effective at catching Ultra Paradox Pokemon.
Potion                 | Medicine   | $25   | $12   | Restores 20 HP to a Pokemon.
Super Potion           | Medicine   | $60   | $30   | Restores 60 HP to a Pokemon.
Hyper Potion           | Medicine   | $150  | $75   | Restores 200 HP.
Max Potion             | Medicine   | $200  | $100  | Restores a Pokemon's HP to full.
Full Restore           | Medicine   | $300  | $150  | Restores a Pokemon's HP to full and cures any status conditions.
