Hummingspark  |Chivick
Flashclaw     |Humbrill
Magestiflash  |Huminescence
Pigo          |Scigeon
Pigonat       |Thieven
Pigoga        |Armoraven
HammyBoy      |Grunswine
Hamthorno     |Hoghoncho
Sheabear      |Teddull
Dualbear      |Teddician
Spacebear     |Teddinaut
Bealtle       |Minipede
Centatle      |Centinel
Curlatoral    |Milimace
Millistone    |Milimace
Treewin       |Kappalm
Winagrow      |Serpenge
Bugik         |Scarabit
Swordik       |Spartipede
Ninjakik      |Gladipede
Bluebunn      |Willolagos
Rocky         |Sedinister
Boulder       |Metaslate
Blaster       |Sedisoftra
Crystallor    |Prismodon
Carinx        |Asmethiss
Carinator     |Aspomancer
Cairnasaur    |Kobraturgy
Pebblepup     |Sabore
Boulderoar    |Saberock
Fightorex     |Rexisilt
Raptorex      |Pterator
Kleinowl      |Snowlet
Hootowl       |Nixnerva
Dualmoose     |Cervora
Grondor       |Grislush
Bipedice      |Thalarctic
Tricerpup     |Ceramber
Tricercil     |Topazatops
Bugop         |Lunymph
Opwing        |Fearomoth
Otterpor      |Whotter
Psylotter     |Lutrineer
Florline      |Mosscelot
Florlion      |Osceloma
Tigrette      |Benglow
Iglite        |Sember
Blaxer        |Kaboon
Pyrator       |Detonape
Rocky-E       |Sedinister-E
Boulder-E     |Metaslate-E
Blaster-E     |Sedisoftra-E
Crystallor-E  |Prismodon-E
Iglite-S      |Sember-S
Blaxer-S      |Kaboon-S
Pyrator-S     |Detonape-S
